state,region
TN,South
MA,Northeast
FL,South
NJ,Northeast
OH,Midwest
PA,Northeast
NY,Northeast
NC,South
SC,South
IN,Midwest
GA,South
MD,South
AL,South
AR,South
LA,South
IA,Midwest
MS,South
IL,Midwest
VA,South
MN,Midwest
TX,South
WI,Midwest
MO,Midwest
KS,Midwest
CO,West
MT,West
NM,West
WA,West
AZ,West
CA,West
NV,West
OR,West
UT,West
MI,Midwest
OK,South
HI,West
AK,West
ME,Northeast
DE,South
RI,Northeast
KY,South
DC,South
NH,Northeast
CT,Northeast
ID,West
WV,South
WY,West
NE,Midwest
VT,Northeast
ND,Midwest
SD,Midwest